,SDSS_NAME,RA,DEC,PLATE,MJD,FIBERID,AUTOCLASS_PQN,Z,BAL_PROB,BI_CIV,AI_CIV
0,111438.82+360548.1,168.66178547831072,36.09671961590777,4622,55629,228,QSO,2.468,0.0,0.0,0.0
1,152538.86+100329.5,231.41193543049573,10.058197016255372,5493,56009,344,QSO,2.241,0.0,0.0,0.0
2,012017.97+214854.4,20.074891527352406,21.81512165576469,5134,55868,866,QSO,2.774,0.0,0.0,0.0
3,232436.84+175513.8,351.15351825432475,17.92052552790886,6131,56211,476,QSO,2.275,0.0,0.0,0.0
4,103619.33+105232.4,159.0805526247013,10.875686004583091,5346,55955,784,QSO,3.092,0.0,0.0,0.0
5,000157.58-023158.6,0.48995378504884,-2.5329513601062095,7850,56956,216,QSO,1.6279505491256714,0.0,0.0,0.0
6,124104.41+250800.6,190.26840992983634,25.133513153734533,5986,56328,606,QSO,2.605,0.0,0.0,0.0
7,234235.16+031952.8,355.6465317337743,3.3313392718107244,4280,55503,586,QSO,2.528,0.0,0.0,0.0
8,080412.85+365407.9,121.05357760663594,36.902206087113576,9356,57809,896,QSO,1.907365322113037,0.0,0.0,0.0
9,143336.83+140652.8,218.4034744528218,14.114685755716158,5466,56033,208,QSO,1.81,0.0,0.0,0.0
10,010310.09+122339.5,15.792055991567906,12.394325383029773,4660,56191,212,QSO,2.539,0.0,0.0,0.0
11,150927.55+490302.9,227.364791480156,49.05081185496601,6727,56369,336,QSO,2.201,0.0,0.0,0.0
12,094342.15+513859.6,145.92565800314475,51.64990800500987,7287,57042,334,VI,3.574,0.0,0.0,0.0
13,132554.78+544317.4,201.47828441137563,54.721524772723384,6828,56430,146,QSO,2.291,0.0,0.0,0.0
14,082354.27+260549.1,125.97613283387872,26.096975495954016,11124,58430,430,QSO,1.9172862768173218,0.0,0.0,0.0
15,140656.52+463653.2,211.73550198640953,46.6147958558076,8499,57431,216,QSO,1.9034144878387451,0.0,0.0,0.0
16,223457.98+255714.1,338.74160322480975,25.953922089007662,6300,56449,982,QSO,2.131,0.0,0.0,0.0
17,103903.11+072629.3,159.76295894080172,7.441483511721007,5349,55929,402,QSO,2.405,0.0,0.0,0.0
18,134034.64+055020.7,205.14435296156546,5.839108390048456,4865,55713,426,QSO,2.301,0.0,0.0,0.0
19,114211.31+250429.9,175.54715086050163,25.074993686297027,6416,56312,612,QSO,2.624,0.0,0.0,0.0
20,010117.68+351310.1,15.323703982213146,35.2194870610651,6595,56569,782,QSO,2.147,0.0,0.0,0.0
21,132948.74+523354.6,202.4531030751867,52.565182759978505,8208,57430,595,QSO,2.198,0.0,0.0,0.0
22,012712.23+065510.1,21.800961680544106,6.919485689362712,11076,58428,343,QSO,1.8653658628463745,0.0,0.0,0.0
23,220940.03+015439.5,332.4168119453669,1.910985262951323,9167,58064,566,QSO,1.7353588342666626,0.0,0.0,0.0
24,165218.85+344221.2,253.07856736737557,34.70589671552087,4987,55746,610,QSO,2.881,0.0,0.0,0.0
25,170346.65+450719.5,255.94438317552778,45.122085013804856,8535,58019,228,QSO,1.801932454109192,0.0,0.0,0.0
26,163128.67+144544.0,247.8694663764962,14.762228552543405,4056,55357,14,QSO,2.458,0.0,0.0,0.0
27,002720.93+041557.0,6.837218802841221,4.265857580708209,8747,57401,771,QSO,1.9137277603149414,0.0,0.0,0.0
28,022404.75+024652.3,36.01981052958094,2.781200151486904,7827,57278,667,QSO,1.6380125284194946,0.0,0.0,0.0
29,113200.43+564305.1,173.00182035270137,56.71809881400728,8176,57131,408,QSO,1.9503897428512573,0.0,0.0,0.0
30,093347.37+273441.7,143.4473759024009,27.578273189397752,5796,56274,240,QSO,3.397,0.0,0.0,0.0
